service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
APR14-APR2930-Weekday-04,1,1,1,1,1,0,0,20140429,20140430
APR14-APR14DA-Weekday-05,1,1,1,1,1,0,0,20140501,20140620
APR14-APRSA14-Saturday-02,0,0,0,0,0,1,0,20140503,20140621
APR14-APRSU14-Sunday-02,0,0,0,0,0,0,1,20140504,20140519
APR14-SBIKE14-Sunday-01,0,0,0,0,0,0,1,20140518,20140615
APR14-202-Tue-Tuesday-01,0,1,0,0,0,0,0,20140429,20140617
APR14-203-Wed-Tuesday-01,0,1,0,0,0,0,0,20140430,20140618
APR14-204-Thu-Tuesday-01,0,1,0,0,0,0,0,20140501,20140619
APR14-205-Fri-Tuesday-01,0,1,0,0,0,0,0,20140502,20140620
APR14-201-Mon-Monday-01,1,0,0,0,0,0,0,20140505,20140616
