service_id,date,exception_type
APR14-APR14DA-Weekday-05,20140519,2
APR14-APRSU14-Sunday-02,20140518,2
APR14-APRSU14-Sunday-02,20140519,1
APR14-203-Wed-Tuesday-01,20140506,2
APR14-203-Wed-Tuesday-01,20140513,2
APR14-203-Wed-Tuesday-01,20140520,2
APR14-203-Wed-Tuesday-01,20140527,2
APR14-203-Wed-Tuesday-01,20140603,2
APR14-203-Wed-Tuesday-01,20140610,2
APR14-203-Wed-Tuesday-01,20140617,2
APR14-203-Wed-Tuesday-01,20140430,1
APR14-203-Wed-Tuesday-01,20140507,1
APR14-203-Wed-Tuesday-01,20140514,1
APR14-203-Wed-Tuesday-01,20140521,1
APR14-203-Wed-Tuesday-01,20140528,1
APR14-203-Wed-Tuesday-01,20140604,1
APR14-203-Wed-Tuesday-01,20140611,1
APR14-203-Wed-Tuesday-01,20140618,1
APR14-204-Thu-Tuesday-01,20140506,2
APR14-204-Thu-Tuesday-01,20140513,2
APR14-204-Thu-Tuesday-01,20140520,2
APR14-204-Thu-Tuesday-01,20140527,2
APR14-204-Thu-Tuesday-01,20140603,2
APR14-204-Thu-Tuesday-01,20140610,2
APR14-204-Thu-Tuesday-01,20140617,2
APR14-204-Thu-Tuesday-01,20140501,1
APR14-204-Thu-Tuesday-01,20140508,1
APR14-204-Thu-Tuesday-01,20140515,1
APR14-204-Thu-Tuesday-01,20140522,1
APR14-204-Thu-Tuesday-01,20140529,1
APR14-204-Thu-Tuesday-01,20140605,1
APR14-204-Thu-Tuesday-01,20140612,1
APR14-204-Thu-Tuesday-01,20140619,1
APR14-205-Fri-Tuesday-01,20140506,2
APR14-205-Fri-Tuesday-01,20140513,2
APR14-205-Fri-Tuesday-01,20140520,2
APR14-205-Fri-Tuesday-01,20140527,2
APR14-205-Fri-Tuesday-01,20140603,2
APR14-205-Fri-Tuesday-01,20140610,2
APR14-205-Fri-Tuesday-01,20140617,2
APR14-205-Fri-Tuesday-01,20140502,1
APR14-205-Fri-Tuesday-01,20140509,1
APR14-205-Fri-Tuesday-01,20140516,1
APR14-205-Fri-Tuesday-01,20140523,1
APR14-205-Fri-Tuesday-01,20140530,1
APR14-205-Fri-Tuesday-01,20140606,1
APR14-205-Fri-Tuesday-01,20140613,1
APR14-205-Fri-Tuesday-01,20140620,1
