route_id,route_short_name,route_long_name,route_desc,route_type,route_url
1-161,1,,,3,
2-161,2,,,3,
4-161,4,,,3,
5-161,5,,,3,
6-161,6,,,3,
7-161,7,,,3,
8-161,8,,,3,
9-161,9,,,3,
12-161,12,,,3,
14-161,14,,,3,
16-161,16,,,3,
18-161,18,,,3,
20-161,20,,,3,
21-161,21,,,3,
22-161,22,,,3,
24-161,24,,,3,
27-161,27,,,3,
30-161,30,,,3,
31-161,31,,,3,
34-161,34,,,3,
35-161,35,,,3,
37-161,37,,,3,
38-161,38,,,3,
40-161,40,,,3,
41-161,41,,,3,
43-161,43,,,3,
60-161,60,,,3,
61-161,61,,,3,
62-161,62,,,3,
65-161,65,,,3,
66-161,66,,,3,
67-161,67,,,3,
68-161,68,,,3,
69-161,69,,,3,
70-161,70,,,3,
71-161,71,,,3,
73-161,73,,,3,
76-161,76,,,3,
77-161,77,,,3,
85-161,85,,,3,
86-161,86,,,3,
87-161,87,,,3,
93-161,93,,,3,
94-161,94,,,3,
95-161,95,,,3,
96-161,96,,,3,
97-161,97,,,3,
98-161,98,,,3,
99-161,99,,,3,
101-161,101,,,3,
102-161,102,,,3,
105-161,105,,,3,
106-161,106,,,3,
107-161,107,,,3,
111-161,111,,,3,
112-161,112,,,3,
114-161,114,,,3,
116-161,116,,,3,
118-161,118,,,3,
120-161,120,,,3,
121-161,121,,,3,
122-161,122,,,3,
123-161,123,,,3,
124-161,124,,,3,
126-161,126,,,3,
127-161,127,,,3,
128-161,128,,,3,
129-161,129,,,3,
130-161,130,,,3,
131-161,131,,,3,
132-161,132,,,3,
134-161,134,,,3,
135-161,135,,,3,
136-161,136,,,3,
137-161,137,,,3,
140-161,140,,,3,
143-161,143,,,3,
144-161,144,,,3,
146-161,146,,,3,
147-161,147,,,3,
148-161,148,,,3,
149-161,149,,,3,
150-161,150,,,3,
151-161,151,,,3,
152-161,152,,,3,
153-161,153,,,3,
156-161,156,,,3,
157-161,157,,,3,
159-161,159,,,3,
161-161,161,,,3,
164-161,164,,,3,
168-161,168,,,3,
170-161,170,,,3,
171-161,171,,,3,
172-161,172,,,3,
173-161,173,,,3,
174-161,174,,,3,
175-161,175,,,3,
176-161,176,,,3,
177-161,177,,,3,
178-161,178,,,3,
180-161,180,,,3,
181-161,181,,,3,
182-161,182,,,3,
186-161,186,,,3,
188-161,188,,,3,
189-161,189,,,3,
192-161,192,,,3,
193-161,193,,,3,
194-161,194,,,3,
199-161,199,,,3,
201-161,201,,,3,
202-161,202,,,3,
203-161,203,,,3,
204-161,204,,,3,
205-161,205,,,3,
221-161,221,,,3,
231-161,231,,,3,
232-161,232,,,3,
261-161,261,,,3,
262-161,262,,,3,
263-161,263,,,3,
283-161,283,,,3,
602-161,602,,,3,
611-161,611,,,3,
612-161,612,,,3,
613-161,613,,,3,
618-161,618,,,3,
619-161,619,,,3,
622-161,622,,,3,
632-161,632,,,3,
633-161,633,,,3,
640-161,640,,,3,
641-161,641,,,3,
648-161,648,,,3,
661-161,661,,,3,
665-161,665,,,3,
669-161,669,,,3,
670-161,670,,,3,
674-161,674,,,3,
678-161,678,,,3,
681-161,681,,,3,
691-161,691,,,3,
750-161,OTrn,,,2,
