route_id,service_id,trip_id,trip_headsign,direction_id,block_id
201-161,APR14-201-Mon-Monday-01,29840603-APR14-201-Mon-Monday-01,"Richmond Stittsville",1,3700001
201-161,APR14-201-Mon-Monday-01,29840604-APR14-201-Mon-Monday-01,"Bayshore Carlingwd",0,3700001
202-161,APR14-202-Tue-Tuesday-01,29840607-APR14-202-Tue-Tuesday-01,"St Laurent Pl Orlns",0,
202-161,APR14-202-Tue-Tuesday-01,29840608-APR14-202-Tue-Tuesday-01,"Cumberland",1,3700002
203-161,APR14-203-Wed-Tuesday-01,29840611-APR14-203-Wed-Tuesday-01,"Carlingwd Bayshore",0,3700003
203-161,APR14-203-Wed-Tuesday-01,29840612-APR14-203-Wed-Tuesday-01,"Dunrobin Stittsville",1,3700003
204-161,APR14-204-Thu-Tuesday-01,29840615-APR14-204-Thu-Tuesday-01,"Greely Metcalfe",1,3700004
204-161,APR14-204-Thu-Tuesday-01,29840616-APR14-204-Thu-Tuesday-01,"Billings Brdg S. Keys",0,3700004
205-161,APR14-205-Fri-Tuesday-01,29840619-APR14-205-Fri-Tuesday-01,"North Gower",1,3700005
205-161,APR14-205-Fri-Tuesday-01,29840620-APR14-205-Fri-Tuesday-01,"Carlingwood",0,3700005
1-161,APR14-APR14DA-Weekday-05,30832701-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806448
1-161,APR14-APR14DA-Weekday-05,30832702-APR14-APR14DA-Weekday-05,"South Keys",0,3806448
1-161,APR14-APR14DA-Weekday-05,30832703-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806448
1-161,APR14-APR14DA-Weekday-05,30832704-APR14-APR14DA-Weekday-05,"South Keys",0,3806448
1-161,APR14-APR14DA-Weekday-05,30832705-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806448
1-161,APR14-APR14DA-Weekday-05,30832706-APR14-APR14DA-Weekday-05,"South Keys",0,3806448
1-161,APR14-APR14DA-Weekday-05,30832707-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3810601
1-161,APR14-APR14DA-Weekday-05,30832708-APR14-APR14DA-Weekday-05,"South Keys",0,3810601
1-161,APR14-APR14DA-Weekday-05,30832709-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3810601
1-161,APR14-APR14DA-Weekday-05,30832710-APR14-APR14DA-Weekday-05,"South Keys",0,3810601
1-161,APR14-APR14DA-Weekday-05,30832711-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3810601
1-161,APR14-APR14DA-Weekday-05,30832712-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3810601
1-161,APR14-APR14DA-Weekday-05,30832713-APR14-APR14DA-Weekday-05,"South Keys",0,3810601
1-161,APR14-APR14DA-Weekday-05,30832714-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806558
1-161,APR14-APR14DA-Weekday-05,30832715-APR14-APR14DA-Weekday-05,"South Keys",0,3810601
1-161,APR14-APR14DA-Weekday-05,30832717-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806203
7-161,APR14-APR14DA-Weekday-05,30832718-APR14-APR14DA-Weekday-05,"St. Laurent",1,3806203
7-161,APR14-APR14DA-Weekday-05,30832719-APR14-APR14DA-Weekday-05,"Carleton",0,3806203
1-161,APR14-APR14DA-Weekday-05,30832720-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3805473
1-161,APR14-APR14DA-Weekday-05,30832721-APR14-APR14DA-Weekday-05,"South Keys",0,3805473
1-161,APR14-APR14DA-Weekday-05,30832722-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806539
1-161,APR14-APR14DA-Weekday-05,30832723-APR14-APR14DA-Weekday-05,"South Keys",0,3806539
1-161,APR14-APR14DA-Weekday-05,30832724-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806539
1-161,APR14-APR14DA-Weekday-05,30832725-APR14-APR14DA-Weekday-05,"South Keys",0,3806539
1-161,APR14-APR14DA-Weekday-05,30832726-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806539
1-161,APR14-APR14DA-Weekday-05,30832727-APR14-APR14DA-Weekday-05,"South Keys",0,3806539
1-161,APR14-APR14DA-Weekday-05,30832728-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806539
1-161,APR14-APR14DA-Weekday-05,30832729-APR14-APR14DA-Weekday-05,"South Keys",0,3806539
1-161,APR14-APR14DA-Weekday-05,30832730-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806539
1-161,APR14-APR14DA-Weekday-05,30832731-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806539
1-161,APR14-APR14DA-Weekday-05,30832732-APR14-APR14DA-Weekday-05,"South Keys",0,3806539
7-161,APR14-APR14DA-Weekday-05,30832733-APR14-APR14DA-Weekday-05,"Carleton",0,3806535
1-161,APR14-APR14DA-Weekday-05,30832734-APR14-APR14DA-Weekday-05,"Ottawa-Rockcliffe",1,3806428
